,DBPath,correct_k,optk_MDS_gap_max,optk_MDS_gap_Tib,optk_MDS_gap*_max,n_points,n_len1,n_len2,n_len3,n_len4,n_len5,n_len6,n_len7
29,D:\Z - Saved SQL Databases\44OP-143748_UT_EERC\JobDB.mdf,39,12,1,41,60,0,0,60,0,0,0,0
30,D:\Z - Saved SQL Databases\44OP-156674_RRMC_NUC_CATH\JobDB.mdf,6,4,1,8,49,0,49,0,0,0,0,0
31,D:\Z - Saved SQL Databases\44OP-146488_TFC_DSHS_A600_Labs_Ph3\JobDB.mdf,16,8,3,20,34,5,0,1,28,0,0,0
32,D:\Z - Saved SQL Databases\44OP-140618_TAMU_CC_Dining_Hall\JobDB.mdf,2,3,2,5,31,15,0,16,0,0,0,0
33,D:\Z - Saved SQL Databases\44OP-154233_BU_Penland_Hall_Dining\JobDB.mdf,47,15,4,51,177,3,1,171,2,0,0,0
34,D:\Z - Saved SQL Databases\44OP-155245_BRIC_Region_12_ESC\JobDB.mdf,81,71,5,87,768,2,5,500,257,4,0,0
35,D:\Z - Saved SQL Databases\44OP-124719_TAMU_Library\JobDB.mdf,40,33,2,41,307,22,1,280,4,0,0,0
36,D:\Z - Saved SQL Databases\44OP-159998 Jamie\JobDB.mdf,47,36,4,51,433,70,5,285,73,0,0,0
37,D:\Z - Saved SQL Databases\44OP-150984_Cirrus_Research\JobDB.mdf,31,17,1,29,159,0,0,159,0,0,0,0
38,D:\Z - Saved SQL Databases\44OP-171481_100_Congress_Civitas\JobDB.mdf,3,5,1,5,24,0,0,0,24,0,0,0
39,D:\Z - Saved SQL Databases\44OP-127929_Baylor_Planters_House\JobDB.mdf,1,1,1,4,9,0,0,9,0,0,0,0
40,D:\Z - Saved SQL Databases\44OP-168489_Baylor_Fast_Forward\JobDB.mdf,123,95,6,124,716,33,35,241,399,8,0,0
41,D:\Z - Saved SQL Databases\44OP-117216_UMHB_Stadium\JobDB.mdf,75,59,2,76,409,1,1,328,79,0,0,0
42,D:\Z - Saved SQL Databases\44OP-148606_BU_RANEY_SMITH\JobDB.mdf,15,13,2,17,50,0,0,11,39,0,0,0
43,D:\Z - Saved SQL Databases\44OP-170006_TXSU_Jones_Dining_Hall_Reno\JobDB.mdf,39,13,3,42,152,0,4,147,1,0,0,0
44,D:\Z - Saved SQL Databases\44OP-169562_Prudential_Overall_Supply\JobDB.mdf,1,4,1,4,307,307,0,0,0,0,0,0
45,D:\Z - Saved SQL Databases\44OP-158160_Baylor_Armstrong_Browning_AHU\JobDB.mdf,2,2,2,8,35,13,0,22,0,0,0,0
46,D:\Z - Saved SQL Databases\44OP-167838_Baylor_Athletic_Nutrition\JobDB.mdf,25,22,2,28,34,0,5,29,0,0,0,0
47,D:\Z - Saved SQL Databases\44OP-159356_TSC_ITECC\JobDB.mdf,4,5,1,10,30,0,0,0,30,0,0,0
48,D:\Z - Saved SQL Databases\44OP-145864_SDMC_32nd_AHU_Replacement\JobDB.mdf,3,7,1,9,58,0,0,0,58,0,0,0
49,D:\Z - Saved SQL Databases\44OP-138488_TFC_LBJ_DMP_Phase_1\JobDB.mdf,16,11,1,23,312,0,0,312,0,0,0,0
50,D:\Z - Saved SQL Databases\44OP-167901_Intel_AN4_3B\JobDB.mdf,4,10,2,15,44,0,0,0,40,4,0,0
51,D:\Z - Saved SQL Databases\44OP-123360_S&W_POB\JobDB.mdf,18,18,2,26,179,0,2,177,0,0,0,0
52,D:\Z - Saved SQL Databases\44OP-087407_UT_LIBERAL_ARTS\JobDB.mdf,23,42,3,61,430,0,4,370,56,0,0,0
53,D:\Z - Saved SQL Databases\44OP-150580_NEC_Lakeline\JobDB.mdf,6,1,1,5,6,0,0,0,6,0,0,0
54,D:\Z - Saved SQL Databases\44OP-124807_TFC_Moreton\JobDB.mdf,34,25,3,47,308,0,3,298,7,0,0,0
55,D:\Z - Saved SQL Databases\44OP-159991 Neighbors\JobDB.mdf,6,2,2,6,7,0,0,0,7,0,0,0
56,D:\Z - Saved SQL Databases\44OP-169908_Seton_HL_New_OA_Units\JobDB.mdf,2,4,1,9,30,0,0,30,0,0,0,0
57,D:\Z - Saved SQL Databases\44OP-152078_AT&T_LABS MBC\JobDB.mdf,85,43,6,117,528,209,276,14,22,4,1,2
58,D:\Z - Saved SQL Databases\44OP-167361_TFC_ DSHS_Fast_Forward\JobDB.mdf,16,9,3,36,42,0,0,28,12,2,0,0
59,D:\Z - Saved SQL Databases\44OP-102233_Seton_HL_Chiller\JobDB.mdf,2,1,1,8,10,0,0,0,10,0,0,0
60,D:\Z - Saved SQL Databases\44OP-168475_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,7,14,2,29,108,0,0,92,16,0,0,0
61,D:\Z - Saved SQL Databases\44OP-150108_TAMUHSC_MRB_MBC_FF\JobDB.mdf,40,29,3,67,435,412,9,14,0,0,0,0
62,D:\Z - Saved SQL Databases\44OP-146257_Baylor_Track\JobDB.mdf,27,14,1,32,33,0,0,33,0,0,0,0
63,D:\Z - Saved SQL Databases\44OP-149430-TFC_JHW_Monitor_DC\JobDB.mdf,86,69,4,105,295,10,0,87,175,23,0,0
64,D:\Z - Saved SQL Databases\44OP-154286_Intel_AN4_Data_Center\JobDB.mdf,29,19,3,54,66,0,0,18,43,5,0,0
65,D:\Z - Saved SQL Databases\44OP-166628_Baylor_BRIC_Dr_Birkeland\JobDB.mdf,3,6,4,19,58,0,0,47,11,0,0,0
66,D:\Z - Saved SQL Databases\44OP-170871_SDMC_MRI_Addition\JobDB.mdf,1,1,1,3,4,0,0,0,0,4,0,0
67,D:\Z - Saved SQL Databases\44OP-147230_TFC_WBT_and_SFA\JobDB.mdf,66,46,3,79,272,2,1,260,9,0,0,0
68,D:\Z - Saved SQL Databases\44OP-159849 UT EERC-ECJ 2nd Flr\JobDB.mdf,39,20,1,44,61,0,0,61,0,0,0,0
69,D:\Z - Saved SQL Databases\44OP-151233_SAMC_Pharmacy_Reno\JobDB.mdf,8,4,1,13,32,1,0,0,31,0,0,0
70,D:\Z - Saved SQL Databases\44OP-159998CHASE\JobDB.mdf,69,41,8,106,225,27,18,141,22,4,11,2
71,D:\Z - Saved SQL Databases\44OP-075294 SAMC New Const Ph 3 4 5\JobDB.mdf,4,7,1,12,138,0,0,0,138,0,0,0
72,D:\Z - Saved SQL Databases\44OP-080108_Austin_Treasury\JobDB.mdf,7,16,2,25,102,14,0,88,0,0,0,0
73,D:\Z - Saved SQL Databases\44OP-148387_BU_FORMAN_LAB\JobDB.mdf,6,5,2,26,40,0,0,22,18,0,0,0
74,D:\Z - Saved SQL Databases\44OP-154681_Baylor_BRIC_OAHU_E2\JobDB.mdf,87,95,6,104,816,2,5,529,276,4,0,0
75,D:\Z - Saved SQL Databases\44OP-120702_Seton_HL_Nuclear\JobDB.mdf,1,1,1,1,2,0,0,2,0,0,0,0
76,D:\Z - Saved SQL Databases\44OP-112425_East_Village_North\JobDB.mdf,27,35,3,49,151,0,2,133,16,0,0,0
77,D:\Z - Saved SQL Databases\44OP-159849 EERC\JobDB.mdf,290,198,4,314,2294,0,1,968,1149,124,52,0
78,D:\Z - Saved SQL Databases\44OP-162206_MCC_CSC_Module_E_Chiller\JobDB.mdf,2,1,1,5,7,0,0,7,0,0,0,0
79,D:\Z - Saved SQL Databases\44OP-135704_BU_South_Russell\JobDB.mdf,24,7,2,36,156,0,5,150,1,0,0,0
80,D:\Z - Saved SQL Databases\44OP-129261_100_Congress_Central_Plant_Upgrade\JobDB.mdf,31,36,4,81,269,108,1,0,152,8,0,0
81,D:\Z - Saved SQL Databases\44OP-159849 EERC-CHASE\JobDB.mdf,5,54,5,64,3266,0,18,1519,1286,310,133,0
82,D:\Z - Saved SQL Databases\44OP-162224_MCC_CSC_Module_A_RTU\JobDB.mdf,11,18,2,38,193,0,0,173,20,0,0,0
83,D:\Z - Saved SQL Databases\44OP-171494_Baylor_BRIC_Dr_Rylander\JobDB.mdf,157,114,5,185,7904,771,89,4125,2671,218,30,0
84,D:\Z - Saved SQL Databases\44OP-106650_SETON_NW_OR\JobDB.mdf,9,16,1,17,88,0,0,86,2,0,0,0
85,D:\Z - Saved SQL Databases\44OP-156522_TxDOT_Acid_Hood\JobDB.mdf,35,38,2,75,77,0,0,0,40,37,0,0
86,D:\Z - Saved SQL Databases\44OP-159998 HMSL Expansion BP1\JobDB.mdf,41,89,4,147,433,70,5,285,73,0,0,0
87,D:\Z - Saved SQL Databases\44OP-166320_TXSU_MSH\JobDB.mdf,32,29,3,44,257,0,2,249,6,0,0,0
88,D:\Z - Saved SQL Databases\44OP-164908_UT_Dell_Medical_School_Research_Building\JobDB.mdf,37,73,3,117,241,0,0,149,62,30,0,0
89,D:\Z - Saved SQL Databases\44OP-156536_BU_North_Russell\JobDB.mdf,42,20,2,54,197,0,5,192,0,0,0,0
90,D:\Z - Saved SQL Databases\44OP-140409_SAMC_BMT_Oncology\JobDB.mdf,7,5,1,15,81,0,0,0,81,0,0,0
91,D:\Z - Saved SQL Databases\44OP-148596_UT_Townes_Hall\JobDB.mdf,17,23,2,25,150,0,2,145,3,0,0,0
92,D:\Z - Saved SQL Databases\44OP-170036_UT_Townes_Hall_HVAC_Proj_Ph_2\JobDB.mdf,8,11,2,23,96,0,0,88,8,0,0,0
93,D:\Z - Saved SQL Databases\44OP-149635_Baylor_Migrations\JobDB.mdf,16,24,2,35,90,0,1,70,19,0,0,0
94,D:\Z - Saved SQL Databases\44OP-136475_UT_HRC\JobDB.mdf,31,29,2,49,190,0,0,178,12,0,0,0
95,D:\Z - Saved SQL Databases\44OP-167712_Block_23_Greenwater_Office_Bldg\JobDB.mdf,64,24,4,81,368,1,2,342,19,4,0,0
96,D:\Z - Saved SQL Databases\44OP-159393_SDMC_32nd_PH_5\JobDB.mdf,1,1,1,9,27,0,0,27,0,0,0,0
97,D:\Z - Saved SQL Databases\44OP-138815_TXSU_CoGen_Plant_BAS_Mods\JobDB.mdf,61,71,9,75,445,0,4,388,48,5,0,0
98,D:\Z - Saved SQL Databases\44OP-127491_MCC_CSC_BLDG_F\JobDB.mdf,6,9,1,12,14,0,0,14,0,0,0,0
99,D:\Z - Saved SQL Databases\44OP-132975_TFC_Rudder_Building\JobDB.mdf,13,17,2,17,107,0,2,104,1,0,0,0
100,D:\Z - Saved SQL Databases\44OP-150007_Cirrus_Logic_Ph2\JobDB.mdf,12,17,4,28,48,0,2,35,11,0,0,0
101,D:\Z - Saved SQL Databases\44OP-181789_TXSU_MCS\JobDB.mdf,7,22,3,30,166,0,2,45,119,0,0,0
102,D:\Z - Saved SQL Databases\44OP-198461_TXSU_Lantana CHW\JobDB.mdf,4,2,2,13,17,0,0,2,15,0,0,0
103,D:\Z - Saved SQL Databases\44OP-197274_TXSU_Ag_Bldg\JobDB.mdf,2,1,1,4,5,0,0,0,5,0,0,0
104,D:\Z - Saved SQL Databases\44OP-181323_Sabinal_Renovation\JobDB.mdf,12,36,3,41,146,0,2,54,90,0,0,0
105,D:\Z - Saved SQL Databases\44OP-176407_TFC_DSHS_LAB_MBC_29_VFDS_AHU_2\JobDB.mdf,15,36,3,45,115,0,0,19,88,8,0,0
106,D:\Z - Saved SQL Databases\44OP-179696_TXSU_Star_One_Addition\JobDB.mdf,45,51,1,51,95,0,0,94,1,0,0,0
107,D:\Z - Saved SQL Databases\44OP-173327_Baylor_Memorial_Dorm_Dining_Hall\JobDB.mdf,10,18,2,34,115,0,0,87,28,0,0,0
108,D:\Z - Saved SQL Databases\44OP-185054_Baylor_Old_Main\JobDB.mdf,5,20,2,25,126,0,0,49,77,0,0,0
109,D:\Z - Saved SQL Databases\44OP-176715_Seton\JobDB.mdf,807,29,1,806,807,0,0,807,0,0,0,0
110,D:\Z - Saved SQL Databases\44OP-178936_ACC_Bond_Service_Center_Controls\JobDB.mdf,9,1,1,9,10,0,0,10,0,0,0,0
111,D:\Z - Saved SQL Databases\44OP-172850_RRMC_Hybrid_OR\JobDB.mdf,2,3,1,10,14,0,0,0,14,0,0,0
112,D:\Z - Saved SQL Databases\44OP-196125_TXSU_Strahan_AHU11\JobDB.mdf,1,10,2,18,29,0,0,16,13,0,0,0
113,D:\Z - Saved SQL Databases\44OP-208597_ACC_Leander_Campus\JobDB.mdf,152,57,2,157,719,0,0,0,622,97,0,0
114,D:\Z - Saved SQL Databases\44OP-186227_Baylor_Hankamer\JobDB.mdf,37,40,3,57,232,0,2,218,12,0,0,0
115,D:\Z - Saved SQL Databases\44OP-195316_SAMC_3rd Floor PH_2_Renovation\JobDB.mdf,9,21,3,30,59,0,1,7,41,10,0,0
116,D:\Z - Saved SQL Databases\44OP-209545_TFC_LBJ_AHU_Repl_DM2016\JobDB.mdf,46,66,3,104,723,0,2,663,58,0,0,0
117,D:\Z - Saved SQL Databases\44OP-176796_Solarwinds_Ph_2\JobDB.mdf,4,4,1,12,24,0,0,24,0,0,0,0
118,D:\Z - Saved SQL Databases\44OP-183291_SAMC_Flr_3_Reno_Ph_1\JobDB.mdf,8,10,2,24,52,0,1,2,39,10,0,0
119,D:\Z - Saved SQL Databases\44OP-190047_TFC_Hobby\JobDB.mdf,24,30,3,44,167,0,0,4,151,12,0,0
120,D:\Z - Saved SQL Databases\44OP-175920_UT_BME_Dr_Peppas_Lab\JobDB.mdf,52,33,3,68,157,0,0,56,99,2,0,0
121,D:\Z - Saved SQL Databases\44OP-207960_TXSU_LBJ_Student_Center_Reno\JobDB.mdf,104,99,4,121,1533,1,4,1176,349,3,0,0
122,D:\Z - Saved SQL Databases\44OP-199631_TXSU_Retama_Hall_Reno\JobDB.mdf,23,27,2,34,116,0,0,110,6,0,0,0
123,D:\Z - Saved SQL Databases\44OP-210011_BRIC_Dr_Kim_Clean_Rm\JobDB.mdf,11,14,2,38,130,0,0,105,25,0,0,0
124,D:\Z - Saved SQL Databases\44OP-194853_MCC_Highland_Gym\JobDB.mdf,2,1,1,1,2,0,0,2,0,0,0,0
125,D:\Z - Saved SQL Databases\44OP-197274 TXSU Ag Bldg Rm 225\JobDB.mdf,2,1,1,4,5,0,0,0,5,0,0,0
126,D:\Z - Saved SQL Databases\44OP-173377_TFC_IAQ_P35-E\JobDB.mdf,12,7,2,28,33,0,0,9,24,0,0,0
127,D:\Z - Saved SQL Databases\44OP-175775_CCMC_Doctors_Regional\JobDB.mdf,6,14,2,27,133,0,115,18,0,0,0,0
128,D:\Z - Saved SQL Databases\44OP-173466_TFC_IAQ_DSHS_DHT\JobDB.mdf,5,14,2,15,39,0,0,3,36,0,0,0
129,D:\Z - Saved SQL Databases\44OP-200081_Intel_AN4C_3A\JobDB.mdf,1,1,1,9,14,0,0,0,14,0,0,0
130,D:\Z - Saved SQL Databases\44OP-180310_SAMC_OR_Expansion\JobDB.mdf,6,10,3,32,99,0,0,46,48,5,0,0
131,D:\Z - Saved SQL Databases\44OP-197265_Baylor_Martin_Dorm\JobDB.mdf,18,27,3,30,144,0,2,137,5,0,0,0
132,D:\Z - Saved SQL Databases\44OP-180163_Baylor_Penland_Dining_RTU2\JobDB.mdf,3,2,1,11,49,0,0,49,0,0,0,0
133,D:\Z - Saved SQL Databases\44OP-187918_UT_TNH_HVAC_Proj_Ph_3\JobDB.mdf,7,27,3,31,114,0,0,95,16,3,0,0
134,D:\Z - Saved SQL Databases\44OP-209898 Deloitte 15_16 Floor\JobDB.mdf,3,7,1,10,12,1,0,0,11,0,0,0
135,D:\Z - Saved SQL Databases\44OP-182498_TXSU_Alkek\JobDB.mdf,4,1,1,3,4,0,0,4,0,0,0,0
136,D:\Z - Saved SQL Databases\44OP-184168_TFC_TCEQ_Park_35\JobDB.mdf,25,26,1,33,91,0,0,0,91,0,0,0
137,D:\Z - Saved SQL Databases\44OP-190124_TFC_DHOP_Central_Plant\JobDB.mdf,45,63,3,157,328,84,1,164,79,0,0,0
138,D:\Z - Saved SQL Databases\44OP-195514_Seton_HL_Surgery_Reno\JobDB.mdf,5,24,2,25,98,0,0,78,20,0,0,0
139,D:\Z - Saved SQL Databases\44OP-179185_ACC_Highland_Reno\JobDB.mdf,22,24,4,41,44,0,2,34,8,0,0,0
140,D:\Z - Saved SQL Databases\44OP-211276_TXSU_UEC_Strahan\JobDB.mdf,128,4,27,127,368,11,6,0,0,0,836,
141,D:\Z - Saved SQL Databases\44OP-207233_SAMC_ED\JobDB.mdf,8,2,2,8,7,0,0,0,0,0,44,
142,D:\Z - Saved SQL Databases\44OP-173378_TFC_IAQ_P35-D\JobDB.mdf,15,2,7,13,9,0,0,0,0,0,41,
143,D:\Z - Saved SQL Databases\44OP-195448_UTRGV_BV_Academic\JobDB.mdf,58,2,4,60,18,0,0,0,0,0,217,
144,D:\Z - Saved SQL Databases\44OP-190763_TXSU_Strahan_AHU12\JobDB.mdf,9,2,3,8,11,0,0,0,0,0,27,
145,D:\Z - Saved SQL Databases\44OP-208376_TFC_WBT_DM_2016\JobDB.mdf,128,7,18,126,64,1,140,2,17,0,946,
146,D:\Z - Saved SQL Databases\44OP-183382_INS_ANNEX\JobDB.mdf,11,3,10,18,2,0,0,0,0,0,29,
147,D:\Z - Saved SQL Databases\44OP-173714_Baylor_Penland_Dorm_Renovation\JobDB.mdf,39,4,8,38,26,2,0,0,0,0,179,
148,D:\Z - Saved SQL Databases\44OP-191435_BRIC_Olafsun_Lab\JobDB.mdf,11,3,3,11,1,0,0,0,0,0,11,
149,D:\Z - Saved SQL Databases\44OP-191465_WPC_Migration\JobDB.mdf,47,2,2,26,8,0,0,0,0,0,103,
150,D:\Z - Saved SQL Databases\44OP-200068_500_W_2nd-Google_Gates\JobDB.mdf,13,5,3,17,2,2,0,0,0,0,32,
151,D:\Z - Saved SQL Databases\44OP-185055_TFC_LBJ_4th_Reno\JobDB.mdf,9,2,2,6,5,0,0,0,0,0,39,
152,D:\Z - Saved SQL Databases\44OP-206348 Trammel Crow\JobDB.mdf,2,2,2,8,1,0,0,0,0,0,16,
153,D:\Z - Saved SQL Databases\44OP-172014_Bell_County_FF\JobDB.mdf,154,4,4,175,228,2,0,0,0,0,431,
154,D:\Z - Saved SQL Databases\44OP-189155_S&W_RR_MRI\JobDB.mdf,9,1,4,8,0,0,0,0,0,0,17,
155,D:\Z - Saved SQL Databases\44OP-177481_FROST_PILLSBURY\JobDB.mdf,5,3,5,5,3,0,0,0,0,0,5,
156,D:\Z - Saved SQL Databases\44OP-173487_TFC_IAQ_DSHS_RBB\JobDB.mdf,9,5,7,14,2,2,0,0,0,0,40,
157,D:\Z - Saved SQL Databases\44OP-198971_REJ_Boiler_Plant\JobDB.mdf,24,2,2,12,5,0,0,0,0,0,50,
158,D:\Z - Saved SQL Databases\44OP-172418_College Inn & Tower\JobDB.mdf,10,2,9,10,4,0,0,0,0,0,10,
159,D:\Z - Saved SQL Databases\44OP-183355_MCC_CSC_Module_C_RTU_AAON\JobDB.mdf,17,2,16,17,98,0,0,0,0,0,119,
160,D:\Z - Saved SQL Databases\44OP-193232_Baylor_Mary_Gibbs\JobDB.mdf,10,3,2,13,31,0,0,0,0,0,33,
161,D:\Z - Saved SQL Databases\44OP-208376_TFC_WBT_AHU_REPLACEMENT\JobDB.mdf,126,6,19,118,151,153,2,1,0,0,1145,
162,D:\Z - Saved SQL Databases\44OP-190812_UT_Bio\JobDB.mdf,39,3,4,25,105,4,0,0,0,0,116,
163,D:\Z - Saved SQL Databases\44OP-180454_TFC_WPC_OA_Units\JobDB.mdf,46,3,8,49,254,1,0,0,0,0,322,
164,D:\Z - Saved SQL Databases\44OP-173492_TFC_IAQ_DSHS_DHR\JobDB.mdf,7,1,7,4,0,0,0,0,0,0,60,
165,D:\Z - Saved SQL Databases\44OP-207921_Oracle_Waterfront\JobDB.mdf,112,4,4,87,82,32,574,0,0,0,1434,
166,D:\Z - Saved SQL Databases\44OP-179186_TFC_REJ\JobDB.mdf,116,5,4,58,84,1,2,0,0,0,870,
167,D:\Z - Saved SQL Databases\44OP-172954_SDMC_ICU_Vertical_Exp\JobDB.mdf,110,5,6,73,175,93,6,3,0,0,360,
168,D:\Z - Saved SQL Databases\44OP-173014_Austin_Convention_Center\JobDB.mdf,18,2,3,16,35,0,0,0,0,0,56,
169,D:\Z - Saved SQL Databases\44OP-180791_Baylor_BEC_Chiller_8_and_CT\JobDB.mdf,32,2,2,19,8,0,0,0,0,0,185,
170,D:\Z - Saved SQL Databases\44OP-172905_SDGH_ICU_Renovation\JobDB.mdf,41,3,11,39,1,22,0,0,0,0,147,
171,D:\Z - Saved SQL Databases\44OP-200068_500_W_2nd-Google_Gates Jamie Original\JobDB.mdf,3,1,3,3,0,0,0,0,0,0,3,
172,D:\Z - Saved SQL Databases\44OP-201622_TXSU_Library_Repository\JobDB.mdf,16,2,2,28,4,0,0,0,0,0,122,
173,D:\Z - Saved SQL Databases\44OP-214947_TFC_WPC_Elevator_DM\JobDB.mdf,67,5,4,46,138,9,2,0,0,0,227,
174,D:\Z - Saved SQL Databases\44OP-214804_ACC_Elgin_Vet_&_Ag\JobDB.mdf,15,3,4,15,5,1,0,0,0,0,15,
175,D:\Z - Saved SQL Databases\44OP-240717_100_Congress_AHUReplacement\JobDB.mdf,15,1,15,11,0,0,0,0,0,0,120,
176,D:\Z - Saved SQL Databases\44OP-227505_TFC_A600_Bio_Threat\JobDB.mdf,28,3,3,8,2,0,0,0,0,0,51,
177,D:\Z - Saved SQL Databases\44OP-232081 DSMCUT Bronchoscopy\JobDB.mdf,2,1,2,28,0,0,0,0,0,0,47,
178,D:\Z - Saved SQL Databases\44OP-224784_515_Congress_Lobby\JobDB.mdf,1,1,1,1,0,0,0,0,0,0,14,
179,D:\Z - Saved SQL Databases\44OP-224013_TFC_REJ_Central_Plant\JobDB.mdf,28,1,1,19,0,0,0,0,0,0,126,
180,D:\Z - Saved SQL Databases\44OP-252830 TXSU Supple Science Rm 112_116\JobDB.mdf,5,1,5,5,0,0,0,0,0,0,5,
181,D:\Z - Saved SQL Databases\44OP-262004_ATT_Homestead_NLoop\JobDB.mdf,55,4,4,46,97,16,4,0,0,0,132,
182,D:\Z - Saved SQL Databases\44OP-231531 St_Davids_32nd_South_Vertical Expansion\JobDB.mdf,48,4,6,56,94,1,4,0,0,0,211,
183,D:\Z - Saved SQL Databases\44OP-244931_DSMCUT_Ambulance_Bay\JobDB.mdf,35,4,4,14,34,2,0,0,0,0,42,
184,D:\Z - Saved SQL Databases\44OP-239983_TXSU_Supple_Science_Exh_Mods\JobDB.mdf,25,3,4,11,2,0,0,0,0,0,53,
185,D:\Z - Saved SQL Databases\44OP-236997_Cerilliant_BAS_Retrofit-Chase\JobDB.mdf,6,1,6,12,0,0,0,0,0,0,42,
186,D:\Z - Saved SQL Databases\44OP-239293_TXSU_Tower_Hall_BAS_Upgrade\JobDB.mdf,42,4,31,36,134,2,0,0,0,0,302,
187,D:\Z - Saved SQL Databases\44OP-228631 TXSU Jowers AHU-14_17\JobDB.mdf,16,2,9,12,33,0,0,0,0,0,75,
188,D:\Z - Saved SQL Databases\44OP-247866_Thermon\JobDB.mdf,6,1,12,9,0,0,0,0,0,0,15,
189,D:\Z - Saved SQL Databases\44OP-211506_TFC_SFA_Bathroom Reno\JobDB.mdf,65,2,12,70,286,0,0,0,0,0,384,
190,D:\Z - Saved SQL Databases\44OP-253914_Cirrus_Logic_Shoal_Creek_12th_Floor\JobDB.mdf,6,2,6,6,1,0,0,0,0,0,6,
191,D:\Z - Saved SQL Databases\44OP-241413_Seton_SW_AHU3_Replacement\JobDB.mdf,13,4,3,23,45,2,0,0,0,0,81,
